name,type,linkid
A Change Of Destiny, action drama mystery period romance ,http://www.dramacool.com/a-change-of-destiny-episode-1.html
Always and Ever, drama ,http://www.dramacool.com/always-and-ever-episode-1.html
A Change of Heart, mystery suspense ,http://www.dramacool.com/a-change-of-heart-episode-1.html
Brothers Keeper, action drama ,http://www.dramacool.com/brothers-keeper-drama-episode-1.html
Bounty Lady, comedy modern ,http://www.dramacool.com/bounty-lady-episode-1.html
Best Bet, action comedy drama period romance ,http://www.dramacool.com/best-bet-episode-1.html
Dream Home, horror ,http://www.dramacool.com/dream-home-episode-1.html
Curse Of The Royal Harem, historical ,http://www.dramacool.com/curse-of-the-royal-harem--episode-1.html
Fall in Love with Me, romance ,http://www.dramacool.com/fall-in-love-with-me-episode-1.html
Ghost Dragon of Cold Mountain, drama period ,http://www.dramacool.com/ghost-dragon-of-cold-mountain-episode-1.html
Gilded Chopsticks, comedy ,http://www.dramacool.com/gilded-chopsticks-episode-1.html
Karma Rider, fantasy mystery romance ,http://www.dramacool.com/karma-rider-episode-1.html
Never Dance Alone, modern ,http://www.dramacool.com/never-dance-alone-drama-episode-1.html
Find THe Light, action drama martialarts period romance ,http://www.dramacool.com/-find-the-light-episode-1.html
Return of the Silver Tongue, comedy ,http://www.dramacool.com/return-of-the-silver-tongue-episode-1.html
Queen Divas, drama ,http://www.dramacool.com/queen-divas-episode-1.html
Sniper Standoff, drama mystery police suspense ,http://www.dramacool.com/sniper-standoff-episode-1.html
Ruse of Engagement, action crime police ,http://www.dramacool.com/ruse-of-engagement-episode-1.html
Slow Boat Home, drama romance ,http://www.dramacool.com/slow-boat-home-episode-1.html
Sniper Standoff, ,http://www.dramacool.com/sniper-standoff-taiwanese-drama-episode-1.html
Storm in a Cocoon, family ,http://www.dramacool.com/storm-in-a-cocoon-episode-1.html
Survivors Law II, drama ,http://www.dramacool.com/survivors-law-ii-episode-1.html
Swipe Tap Love, family romance ,http://www.dramacool.com/swipe-tap-love-episode-1.html
The Gem of Life, action business drama family modern romance ,http://www.dramacool.com/the-gem-of-life-episode-1.html
The Greed of Man, drama family ,http://www.dramacool.com/the-greed-of-man-episode-1.html
The Master of Tai Chi, action drama martialarts period romance ,http://www.dramacool.com/the-master-of-tai-chi-episode-1.html
The Hippocratic Crush II, drama ,http://www.dramacool.com/the-hippocratic-crush-ii-episode-1.html
The Ultimate Addiction, modern romance ,http://www.dramacool.com/the-ultimate-addiction-episode-1.html
Tiger Cubs, drama ,http://www.dramacool.com/tiger-cubs--episode-1.html
Triumph In The Skies 2, drama modern romance ,http://www.dramacool.com/triumph-in-the-skies-2-episode-1.html
TVB ICAC Investigators 2014, crime police reality ,http://www.dramacool.com/tvb-icac-investigators-201-episode-1.html
Will Power, comedy law modern ,http://www.dramacool.com/will-power-episode-1.html
A Story of LaLas Promotion, romance ,http://www.dramacool.com/a-story-of-lalas-promotion-episode-1.html
Allure Snow, drama ,http://www.dramacool.com/allure-snow-episode-1.html
Accoucheur, drama medical ,http://www.dramacool.com/accoucheur-episode-1.html
Athena, action ,http://www.dramacool.com/athena-episode-1.html
Baby Child Back Home, drama family ,http://www.dramacool.com/baby-child-back-home-episode-1.html
Battle of the Beauties, drama family ,http://www.dramacool.com/battle-of-the-beauties-episode-1.html
Beauties At The Crossfire, action drama romance ,http://www.dramacool.com/beauties-at-the-crossfire-episode-1.html
Beauties Without Tears, drama ,http://www.dramacool.com/beauties-without-tears-episode-1.html
Beautiful Trap, drama romance ,http://www.dramacool.com/beautiful-trap-episode-1.html
Bratty Bride, period romance ,http://www.dramacool.com/bratty-bride--episode-1.html
Chien Lung Dynasty (2004), drama ,http://www.dramacool.com/chien-lung-dynasty-2004-episode-1.html
Clear Midsummers Night, drama romance ,http://www.dramacool.com/clear-midsummers-night-episode-1.html
Crazy for Palace, drama ,http://www.dramacool.com/crazy-for-palace-episode-1.html
Cuo Fang Ni De Shou, drama romance ,http://www.dramacool.com/cuo-fang-ni-de-shou-episode-1.html
Dragon Gate, action ,http://www.dramacool.com/dragon-gate-episode-1.html
Demi-Gods and Semi-Devils (2013), action adventure drama period ,http://www.dramacool.com/demi-gods-and-semi-devils-2013-episode-1.html
Cuo/Xi Dian Yuan Yang, period drama ,http://www.dramacool.com/cuoxi-dian-yuan-yang-episode-1.html
Farewell My Concubine, drama music romance ,http://www.dramacool.com/farewell-my-concubine-episode-1.html
