name,type,linkid
Alice no Toge, suspense ,http://www.dramacool.com/alice-no-toge-episode-1.html
Ando Lloyd, romance sci-fi ,http://www.dramacool.com/ando-lloyd-episode-1.html
35-sai no Koukousei, school drama ,http://www.dramacool.com/35-sai-no-koukousei-episode-1.html
Ashita Mama ga Inai, family ,http://www.dramacool.com/ashita-mama-ga-inai-episode-1.html
Bitter Blood, crime family mystery ,http://www.dramacool.com/bitter-blood-episode-1.html
Black President, comedy drama human ,http://www.dramacool.com/black-president-episode-1.html
Border, mystery suspense ,http://www.dramacool.com/border-episode-1.html
Bokura wa Minna Shindeiru, action ,http://www.dramacool.com/bokura-wa-minna-shindeiru-episode-1.html
Boku no Ita Jikan, family melodrama romance ,http://www.dramacool.com/boku-no-ita-jikan-episode-1.html
Coffee ya no Hitobito, drama human ,http://www.dramacool.com/coffee-ya-no-hitobito-episode-1.html
CSI-Crime Scene Talks Season 2, ,http://www.dramacool.com/csi-crime-scene-talks-season-2-episode-1.html
Danda Rin ~ The Labour Standards Inspector, drama ,http://www.dramacool.com/danda-rin-the-labour-standards-inspector-episode-1.html
Doctor X 2, medical ,http://www.dramacool.com/doctor-x-2-episode-1.html
Detarame Hero, comedy human ,http://www.dramacool.com/detarame-hero-episode-1.html
Doctor-X, medical ,http://www.dramacool.com/doctor-x-episode-1.html
Goen Hunter, drama ,http://www.dramacool.com/goen-hunter-episode-1.html
Galileo 2, detective mystery ,http://www.dramacool.com/galileo-2-episode-1.html
Fukuie Keibuho no Aisatsu, crime ,http://www.dramacool.com/fukuie-keibuho-no-aisatsu-episode-1.html
Gokuaku Ganbo, drama human ,http://www.dramacool.com/gokuaku-ganbo-episode-1.html
Gunshi Kanbee, jidaigeki ,http://www.dramacool.com/gunshi-kanbee-episode-1.html
GTO Season 2, drama human school ,http://www.dramacool.com/gto-season-2-episode-1.html
Haitatsu Saretai Watashitachi, drama ,http://www.dramacool.com/haitatsu-saretai-watashitachi-episode-1.html
Hakuba no Oujisama Junai Tekireiki, romance ,http://www.dramacool.com/hakuba-no-oujisama-junai-tekireiki-episode-1.html
Hanako to Anne, drama ,http://www.dramacool.com/hanako-to-anne-episode-1.html
Hanasaki Mai ga Damatte Inai, suspense ,http://www.dramacool.com/hanasaki-mai-ga-damatte-inai-episode-1.html
Hard Nut, comedy crime ,http://www.dramacool.com/hard-nut-episode-1.html
Henshin Interviewer no Yuuutsu, comedy mystery ,http://www.dramacool.com/henshin-interviewer-no-yuuutsu-episode-1.html
Holy Battle in Couleur de Rose - The Future Is ..., comedy drama ,http://www.dramacool.com/holy-battle-in-couleur-de-rose-the-future-is-episode-1.html
Innocent Lilies, ,http://www.dramacool.com/innocent-lilies-episode-1.html
Iryu 4, medical ,http://www.dramacool.com/-iryu-4-episode-1.html
Isharyou Bengoshi, drama ,http://www.dramacool.com/isharyou-bengoshi-episode-1.html
Itazura na Kiss Love in TOKYO (2013), comedy romance school youth ,http://www.dramacool.com/itazura-na-kiss-love-in-tokyo-2013-episode-1.html
Kamen Rider Gaim, ,http://www.dramacool.com/kamen-rider-gaim-episode-1.html
"Jyuui san, Jiken Desuyo", family ,http://www.dramacool.com/jyuui-san-jiken-desuyo-episode-1.html
"Kamo, Kyoto e Iku", ,http://www.dramacool.com/kamo-kyoto-e-iku-episode-1.html
Kami no Tsuki, suspense ,http://www.dramacool.com/kami-no-tsuki-episode-1.html
Kami no Shizuku, drama ,http://www.dramacool.com/kami-no-shizuku--episode-1.html
