name,type,linkid
101 st Proposal, romance ,http://www.dramacool.com/101st-proposal-episode-1.html
2 Days & 1 Night, reality reality-game show ,http://www.dramacool.com/2-days-1-night-drama-episode-1.html
49 Days, fantasy romance ,http://www.dramacool.com/49-days-episode-1.html
9 End 2 Outs, comedy romance ,http://www.dramacool.com/9-end-2-outs-episode-1.html
90 Days Time to Love, drama romance ,http://www.dramacool.com/90-days-time-to-love-episode-1.html
A Gentlemans Dignity, comedy romance ,http://www.dramacool.com/a-gentlemans-dignity-drama-episode-1.html
A Good Day For The Wind To Blow, family romance ,http://www.dramacool.com/a-good-day-for-the-wind-to-blow-episode-1.html
A Little Love Never Hurts, family romance ,http://www.dramacool.com/a-little-love-never-hurts-episode-1.html
A Love to Kill, drama romance ,http://www.dramacool.com/a-love-to-kill-episode-1.html
A Man Called God, romance ,http://www.dramacool.com/a-man-called-god-episode-1.html
A Mans Story, action romance ,http://www.dramacool.com/a-mans-story--episode-1.html
A New Leaf, drama human law ,http://www.dramacool.com/a-new-leaf--episode-1.html
A Thousand Kisses, romance ,http://www.dramacool.com/a-thousand-kisses-drama-episode-1.html
A Tale of Two Sisters, drama family romance ,http://www.dramacool.com/a-tale-of-two-sisters-episode-1.html
A Thousand Days Promise, melodrama romance ,http://www.dramacool.com/a-thousand-days-promise-drama-episode-1.html
A Word From Warm Heart, family melodrama romance ,http://www.dramacool.com/a-word-from-warm-heart-drama-episode-1.html
A Wifes Credentials, drama ,http://www.dramacool.com/a-wifes-credentials-episode-1.html
Ad Genius Lee Tae Baek, comedy drama romance ,http://www.dramacool.com/ad-genius-lee-tae-baek-drama-episode-1.html
Age of Innocence, romance ,http://www.dramacool.com/age-of-innocence-episode-1.html
All About Eve, drama romance ,http://www.dramacool.com/all-about-eve-episode-1.html
Air City, romance ,http://www.dramacool.com/air-city-episode-1.html
All About My Romance, drama family romance ,http://www.dramacool.com/all-about-my-romance-drama-episode-1.html
Alone In Love, romance ,http://www.dramacool.com/alone-in-love-episode-1.html
All In, crime drama romance ,http://www.dramacool.com/all-in-episode-1.html
Amnok River Flows, biography ,http://www.dramacool.com/amnok-river-flows-episode-1.html
Angel Eyes Special - Beginning of Love, ,http://www.dramacool.com/angel-eyes-special-beginning-of-love-episode-1.html
Angel Eyes, family medical melodrama romance ,http://www.dramacool.com/angel-eyes-episode-1.html
Amore Mio, family ,http://www.dramacool.com/amore-mio-episode-1.html
Arang and the Magistrate, drama fantasy historical ,http://www.dramacool.com/arang-and-the-magistrate-episode-1.html
Angels Revenge, drama romance ,http://www.dramacool.com/angels-revenge-episode-1.html
Assorted Gems, family romance ,http://www.dramacool.com/assorted-gems-episode-1.html
Athena Goddess of War, action romance thriller ,http://www.dramacool.com/athena-goddess-of-war-episode-1.html
Attic Cat, comedy romance ,http://www.dramacool.com/attic-cat-episode-1.html
Auction House, drama family ,http://www.dramacool.com/auction-house-episode-1.html
Bachelors Vegetable Store, comedy romance ,http://www.dramacool.com/bachelors-vegetable-store-episode-1.html
Baby-Faced Beauty (aka Babyfaced Beauty), comedy romance ,http://www.dramacool.com/baby-faced-beauty-aka-babyfaced-beauty-drama-episode-1.html
Bad Boy, drama romance ,http://www.dramacool.com/bad-boy-drama-episode-1.html
Bad Couple, comedy romance ,http://www.dramacool.com/bad-couple-episode-1.html
Bad Family, comedy ,http://www.dramacool.com/bad-family-episode-1.html
Bad Love, airline romance ,http://www.dramacool.com/bad-love-episode-1.html
Baker King Kim Tak Gu, family romance ,http://www.dramacool.com/baker-king-kim-tak-gu--episode-1.html
Barefoot Friends, reality variety ,http://www.dramacool.com/barefoot-friends-drama-episode-1.html
Basketball, action period romance sport ,http://www.dramacool.com/basketball-episode-1.html
Beating Heart, drama family romance ,http://www.dramacool.com/beating-heart-episode-1.html
Beautiful Days, romance ,http://www.dramacool.com/beautiful-days-episode-1.html
Beethoven Virus, comedy drama romance ,http://www.dramacool.com/beethoven-virus-drama-episode-1.html
Bichunmu, action fantasy romance ,http://www.dramacool.com/bichunmu-episode-1.html
Beyond the Clouds, action crime melodrama romance ,http://www.dramacool.com/beyond-the-clouds-episode-1.html
Bel Ami, comedy family romance ,http://www.dramacool.com/bel-ami-episode-1.html
Big, comedy romance ,http://www.dramacool.com/big-episode-1.html
Big Man, modern drama romance suspense ,http://www.dramacool.com/big-man-episode-1.html
Birth Secret, comedy family melodrama romance ,http://www.dramacool.com/birth-secret-episode-1.html
Birdie Buddy, romance sport ,http://www.dramacool.com/birdie-buddy-episode-1.html
Birth of a Rich Man (aka. Becoming a Billionaire), romance ,http://www.dramacool.com/birth-of-a-rich-man-aka-becoming-a-billionaire-episode-1.html
Blood Boiling Youth, ,http://www.dramacool.com/blood-boiling-youth-episode-1.html
Boys Before Flowers, comedy romance ,http://www.dramacool.com/boys-before-flowers-drama-episode-1.html
Biscuit Teacher and Star Candy, drama romance school ,http://www.dramacool.com/biscuit-teacher-and-star-candy-episode-1.html
Brain, drama medical ,http://www.dramacool.com/brain-drama-episode-1.html
Bridal Mask, action period romantic ,http://www.dramacool.com/bridal-mask-drama-episode-1.html
Bride of the Century, family fantasy melodrama romance ,http://www.dramacool.com/bride-of-the-century-episode-1.html
Cain and Abel, action romance ,http://www.dramacool.com/cain-and-abel-drama-episode-1.html
Can We Get Married, family romance ,http://www.dramacool.com/can-we-get-married-episode-1.html
Can Love Become Money, romance ,http://www.dramacool.com/can-love-become-money-episode-1.html
Can We Love, comedy family romance ,http://www.dramacool.com/can-we-love-korean-drama-episode-1.html
Can You Hear My Heart ?, drama romance ,http://www.dramacool.com/can-you-hear-my-heart-korean-drama-cool-episode-1.html
Cant Lose, drama romance ,http://www.dramacool.com/cant-lose-episode-1.html
Capital Scandal, comedy drama romance ,http://www.dramacool.com/capital-scandal--episode-1.html
Case Number, crime drama mystery ,http://www.dramacool.com/case-number-episode-1.html
Cheongdamdong Alice, comedy romance ,http://www.dramacool.com/cheongdamdong-alice-drama-episode-1.html
Childless Comfort, family romance ,http://www.dramacool.com/childless-comfort-episode-1.html
Chinese Drama, ,http://www.dramacool.com/chinese-drama-episode-1.html
Chocolat, comedy romance ,http://www.dramacool.com/chocolat-episode-1.html
Cinderella Man, romance ,http://www.dramacool.com/cinderella-man-episode-1.html
City Hall, romance ,http://www.dramacool.com/city-hall-drama-episode-1.html
Coffee House, romance ,http://www.dramacool.com/coffee-house-drama-episode-1.html
City Hunter, action romance ,http://www.dramacool.com/city-hunter-drama-episode-1.html
Coffee Prince, romance ,http://www.dramacool.com/coffee-prince-drama-episode-1.html
Color of a Woman, comedy drama romance ,http://www.dramacool.com/color-of-a-woman-episode-1.html
Couple Fantasy, romance ,http://www.dramacool.com/couple-fantasy-episode-1.html
Crazy Love, melodrama romance ,http://www.dramacool.com/crazy-love-episode-1.html
Cunning Single Lady, comedy romance ,http://www.dramacool.com/cunning-single-lady-episode-1.html
Damo, crime drama period romance ,http://www.dramacool.com/damo-drama-episode-1.html
Dating Agency Cyrano, comedy romance ,http://www.dramacool.com/dating-agency-cyrano-episode-1.html
Definitely Neighbors, ,http://www.dramacool.com/definitely-neighbors-drama-episode-1.html
Doctor Stranger, action medical melodrama romance thriller ,http://www.dramacool.com/doctor-stranger-episode-1.html
Dont Ask Me About the Past, comedy romance ,http://www.dramacool.com/dont-ask-me-about-the-past-episode-1.html
Dong Yi, historical ,http://www.dramacool.com/dong-yi-drama-episode-1.html
Dr. Champ, medical romance sport ,http://www.dramacool.com/dr-champ-episode-1.html
Dont Hesitate, drama romance ,http://www.dramacool.com/dont-hesitate-drama-episode-1.html
Dr. Jin, medical romance time travel ,http://www.dramacool.com/dr-jin-episode-1.html
Dream High, romance school ,http://www.dramacool.com/dream-high-drama-episode-1.html
Dream, romance sport ,http://www.dramacool.com/dream-episode-1.html
Dream High S2, drama ,http://www.dramacool.com/dream-high-s2-episode-1.html
Dummy Mommy, family romance ,http://www.dramacool.com/dummy-mommy--episode-1.html
Emergency Couple, comedy family medical romance ,http://www.dramacool.com/emergency-couple-episode-1.html
East of Eden, romance ,http://www.dramacool.com/east-of-eden-drama-episode-1.html
Emergency Man and Woman, ,http://www.dramacool.com/emergency-man-and-woman-episode-1.html
Empress Ki, action historical melodrama political romance ,http://www.dramacool.com/empress-ki-episode-1.html
Endless Love, action crime melodrama period romance thriller ,http://www.dramacool.com/endless-love-episode-1.html
Faith, fantasy historical romance time travel ,http://www.dramacool.com/faith-drama-episode-1.html
Fantasy Tower, comedy fantasy mystery thriller ,http://www.dramacool.com/fantasy-tower-episode-1.html
Fashion King, drama romance ,http://www.dramacool.com/fashion-king-episode-1.html
Fasten Your Seatbelt, ,http://www.dramacool.com/fasten-your-seatbelt-episode-1.html
Fated to Love You, comedy romance ,http://www.dramacool.com/fated-to-love-you-korean-episode-1.html
Feast of the Gods, comedy romantic ,http://www.dramacool.com/feast-of-the-gods-drama-episode-1.html
Firstborn, family melodrama period romance ,http://www.dramacool.com/firstborn-episode-1.html
Flames of Desire, drama romance ,http://www.dramacool.com/flames-of-desire-drama-episode-1.html
Five Fingers, melodrama musical romance ,http://www.dramacool.com/five-fingers-drama-episode-1.html
Flower Boy Next Door, comedy romance ,http://www.dramacool.com/flower-boy-next-door-drama-episode-1.html
Flower Boy Ramen Shop, comedy romantic ,http://www.dramacool.com/flower-boy-ramen-shop-drama-episode-1.html
Forty Nine, ,http://www.dramacool.com/forty-nine-episode-1.html
Flower Grandpa Investigative Team, comedy crime fantasy mystery ,http://www.dramacool.com/flower-grandpa-investigative-team-episode-1.html
Fugitive Plan B, action comedy romance ,http://www.dramacool.com/fugitive-plan-b-episode-1.html
Fugitive Plan B.Special, ,http://www.dramacool.com/fugitive-plan-bspecial-episode-1.html
Full House, comedy romance ,http://www.dramacool.com/full-house-episode-1.html
Full House Take 2, comedy romance ,http://www.dramacool.com/full-house-take-2-drama-episode-1.html
Gap Dong, crime melodrama mystery ,http://www.dramacool.com/gap-dong-episode-1.html
Ghost-Seeing Detective Cheo Yong, action crime horror mystery thriller ,http://www.dramacool.com/ghost-seeing-detective-cheo-yong-episode-1.html
Ghost, action crime investigation ,http://www.dramacool.com/ghost-drama-episode-1.html
Get it Beauty, audition variety ,http://www.dramacool.com/get-it-beauty-episode-1.html
Giant, action drama romance ,http://www.dramacool.com/giant-drama-episode-1.html
Gloria, drama ,http://www.dramacool.com/gloria-drama-episode-1.html
Glass Mask, drama ,http://www.dramacool.com/glass-mask-drama-episode-1.html
Glory Jane, romance ,http://www.dramacool.com/glory-jane-drama-episode-1.html
Glorious Day, drama family romance ,http://www.dramacool.com/glorious-day-episode-1.html
