sname,type,linkid
A Good Wife, family ,http://www.dramacool.com/a-good-wife-episode-1.html
Alice in Wonder City, drama human ,http://www.dramacool.com/alice-in-wonder-city-episode-1.html
Absolute Boyfriend, romance ,http://www.dramacool.com/absolute-boyfriend-episode-1.html
Amour et Ptisserie, romance ,http://www.dramacool.com/amour-et-ptisserie-episode-1.html
An Innocent Mistake, family ,http://www.dramacool.com/an-innocent-mistake-episode-1.html
Backlight Lovers, drama romance ,http://www.dramacool.com/backlight-lovers-episode-1.html
Because of you, romance ,http://www.dramacool.com/because-of-you-episode-1.html
Big Red Riding Hood, romance ,http://www.dramacool.com/big-red-riding-hood-episode-1.html
Borrow Your Love, romance ,http://www.dramacool.com/borrow-your-love-episode-1.html
Borrow Your Love, ,http://www.dramacool.com/borrow-your-love-taiwanese-drama-episode-1.html
Boys Can Fly, drama human ,http://www.dramacool.com/boys-can-fly-episode-1.html
Days We Stared at the Sun, drama human ,http://www.dramacool.com/days-we-stared-at-the-sun-episode-1.html
Easy Fortune Happy Life, comedy romance ,http://www.dramacool.com/easy-fortune-happy-life-episode-1.html
Deja Vu, fantasy romance ,http://www.dramacool.com/deja-vu-episode-1.html
Die Sterntaler, romance ,http://www.dramacool.com/die-sterntaler-episode-1.html
Fabulous Boys, comedy romance ,http://www.dramacool.com/fabulous-boys-episode-1.html
Falling, ,http://www.dramacool.com/falling-episode-1.html
Fated to Love You, comedy romance ,http://www.dramacool.com/fated-to-love-you-episode-1.html
Gentle Mercy, drama romance ,http://www.dramacool.com/gentle-mercy-episode-1.html
Happy Michelin Kitchen, romance ,http://www.dramacool.com/happy-michelin-kitchen-episode-1.html
Four Gifts, romance ,http://www.dramacool.com/four-gifts-episode-1.html
I Love U Love U Love I, drama romance ,http://www.dramacool.com/i-love-u-love-u-love-i-episode-1.html
In A Good Way, romance ,http://www.dramacool.com/in-a-good-way-episode-1.html
In Love With A Rich Girl, drama romance ,http://www.dramacool.com/in-love-with-a-rich-girl-episode-1.html
Just You, romance ,http://www.dramacool.com/just-you-episode-1.html
KO One Return, action comedy fantasy romance ,http://www.dramacool.com/ko-one-return--episode-1.html
Letter 1949, romance ,http://www.dramacool.com/letter-1949-episode-1.html
Lady Maid Maid, comedy romance ,http://www.dramacool.com/lady-maid-maid-episode-1.html
Love Around, romance ,http://www.dramacool.com/love-around-episode-1.html
Love Myself or You?, romance ,http://www.dramacool.com/love-myself-or-you-episode-1.html
Love Now, family romance ,http://www.dramacool.com/love-now-episode-1.html
Love Keeps Going, comedy romance ,http://www.dramacool.com/love-keeps-going-episode-1.html
Love Touch, drama romance ,http://www.dramacool.com/love-touch-episode-1.html
Love SOS, comedy romance ,http://www.dramacool.com/love-sos-episode-1.html
Marry Me!, romance ,http://www.dramacool.com/marry-me-episode-1.html
Marry or Not, romance ,http://www.dramacool.com/marry-or-not-episode-1.html
Meteor Garden, drama ,http://www.dramacool.com/meteor-garden-episode-1.html
My Queen, comedy romance ,http://www.dramacool.com/my-queen--episode-1.html
Next Heroes, police ,http://www.dramacool.com/next-heroes-episode-1.html
Odd Perfect Match, drama ,http://www.dramacool.com/odd-perfect-match-episode-1.html
Prince William, comedy romance ,http://www.dramacool.com/prince-william-episode-1.html
Rock n Road, music romance ,http://www.dramacool.com/rock-n-road--episode-1.html
Rainbow Sweetheart, comedy romance ,http://www.dramacool.com/rainbow-sweetheart-episode-1.html
Say That You Love Me, comedy drama romance ,http://www.dramacool.com/say-that-you-love-me-episode-1.html
Summer Fever, romance ,http://www.dramacool.com/summer-fever-episode-1.html
Sweet Relationship, romance ,http://www.dramacool.com/sweet-relationship-episode-1.html
Sunshine Angel, drama romance ,http://www.dramacool.com/sunshine-angel-episode-1.html
Westside Story, action comedy romance ,http://www.dramacool.com/westside-story-episode-1.html
The Pursuit of Happiness, romance ,http://www.dramacool.com/the-pursuit-of-happiness-episode-1.html
What Is Love, comedy drama romance ,http://www.dramacool.com/what-is-love-episode-1.html
Zhong Wu Yan, romance ,http://www.dramacool.com/zhong-wu-yan-episode-1.html
